Start,Stop
2843914,2844216
2846061,2846126
2846384,2846497
2847185,2847280
2847793,2847846
2850797,2852950
2854883,2854957
2860659,2860727
2861424,2862614
2874618,2874752
2875189,2875341
2884586,2884789
2886971,2887048
2889230,2889343
2889813,2889866
2896241,2897059
2898535,2899266
2900083,2900142
2901188,2901322
2902053,2902136
2906084,2906149
2907153,2909708
2910165,2910380
2912992,2913123
2916291,2916890
2919468,2919674
2922907,2923041
2928167,2928325
2930393,2930461
2933303,2934715
2940053,2941033
